Year,Avg_Oil_Price,Global_CO2_MillionTons
2007,82.54611121283637,31499.256
2008,98.94523989868163,32049.66
2009,63.57444446922367,31513.014
2010,80.36471969604492,33317.672
2011,110.98933318456014,34479.988
2012,111.71567930998626,34954.734
2013,108.67358059353299,35275.82
2014,99.28431988525391,35465.695
2015,53.502261752174014,35403.527
2016,45.16007995605469,35392.832
2017,54.72601599522321,35974.609
2018,71.7671713810043,36734.004
2019,64.1606349188184,37086.566
2020,43.086758979224406,35158.23
2021,70.95380932944161,36866.863
2022,98.96633461272098,37527.773
2023,82.19043816798236,38094.039
2024,79.8213096194797,38598.578
